SMILES,LOGS
CN1C=NC2=C1C(=O)NC(=O)N2,-1.38
NC=O,1.05
O=C1NC=CC(=O)N1,-0.63
OC(=O)CCC1=CNC2=CC=CC=C12,-2.42
CC(CN)C(O)=O,0.55
OC(=O)CCCCCCCCC(O)=O,-2.35
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,-1.01
CC(C)C(O)C(O)=O,0.26
OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0.17
CN1C=NC(C[C@H](N)C(O)=O)=C1,-1.39
OCCC1=CC=CC=C1,-1.03
CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,-7.29
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,-3.94
CC(C(O)=O)C(O)=O,0.1
CCCCCCCC\C=C/CCCCCCCC(O)=O,-6.37
CCCCCCC(=O)OCC,-2.72
[H]OC1=C([H])C2=C(C(O[H])=C1[H])C([H])([H])[C@@]([H])(O[H])[C@]([H])(O2)C1=C([H])C(O[H])=C(O[H])C([H])=C1[H],-2.65
CCCCCC(=O)NCC(O)=O,-1.68
[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@]([H])(O)CC[C@]12C,-4.66
O[C@H](CC1=CC=CC=C1)C(O)=O,-1.23
C\C(=C/C(O)=O)C(O)=O,-0.91
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-0.21
[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C(=O)C[C@]2([H])C[C@H](O)CC[C@]12C,-4.47
CC(C)[C@@H]1CC[C@@H](C)CC1=O,-2.77
CCCCC(O)C(O)=O,-0.17
